User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount
1002903,Ali,P00125942,F,26-35,28,0,Balochistan,Western,Business,Auto,1,23952
1000732,Ali,P00110942,F,26-35,35,1,Balochistan,Western,Retail,Auto,3,23934
1001990,Zara,P00118542,F,26-35,35,1,Islamabad Capital Territory,Northern,IT,Auto,3,23924
1001425,Mariam,P00237842,M,0-17,16,0,Sindh,Southern,Healthcare,Auto,2,23912
1000588,Mariam,P00057942,M,26-35,28,1,Punjab,Eastern,Textile,Auto,2,23877
1000588,Mariam,P00057942,M,26-35,28,1,Gilgit-Baltistan,Northern,Textile,Auto,1,23877
1001132,Daniyal,P00018042,F,18-25,25,1,Islamabad Capital Territory,Northern,Agriculture,Auto,4,23841
1002092,Fatima,P00273442,F,55+,61,0,Khyber Pakhtunkhwa,North-Western,Freelancer,Auto,1,
1003224,Ayesha,P00205642,M,26-35,35,0,Khyber Pakhtunkhwa,North-Western,Education,Auto,2,23809
1003650,Saad,P00031142,F,26-35,26,1,Punjab,Eastern,IT,Auto,4,23799.99
1003829,Ali,P00200842,M,26-35,34,0,Khyber Pakhtunkhwa,North-Western,Construction,Auto,1,23770
1000214,Umar,P00119142,F,18-25,20,0,Sindh,Southern,Freelancer,Auto,2,23752
1004035,Fatima,P00080342,F,18-25,20,1,Sindh,Southern,Healthcare,Auto,2,23730
1001680,Muneeb,P00324942,M,26-35,26,1,Balochistan,Western,Media,Auto,4,23718
1003858,Sara,P00293742,M,46-50,46,1,Islamabad Capital Territory,Northern,Construction,Auto,3,
1000813,Ali,P00289942,F,18-25,24,0,Sindh,Southern,Construction,Auto,2,23664
1005447,Ali,P00275642,F,46-50,48,1,Khyber Pakhtunkhwa,North-Western,Agriculture,Auto,3,
1001193,Umar,P00004842,F,26-35,29,0,Khyber Pakhtunkhwa,North-Western,Agriculture,Auto,1,23619
1001883,Ali,P00029842,M,51-55,54,1,Islamabad Capital Territory,Northern,Engineer,Auto,1,23568
1001883,Hiba,P00029842,M,51-55,54,1,Gilgit-Baltistan,Northern,Govt,Auto,1,23568
1000113,Mariam,P00180642,F,18-25,19,1,Khyber Pakhtunkhwa,North-Western,Agriculture,Auto,4,23546
1000416,Bilal,P00181842,F,46-50,46,1,Islamabad Capital Territory,Northern,Textile,Auto,2,23525
1005256,Muneeb,P00101742,F,26-35,30,0,Azad Jammu & Kashmir,North-Eastern,Business,Auto,1,23518
1001505,Mariam,P00271842,F,51-55,53,0,Sindh,Southern,Engineer,Auto,2,23515
1000900,Umar,P00317842,M,55+,83,0,Azad Jammu & Kashmir,North-Eastern,Govt,Auto,3,23513
1005908,Raza,P00282642,F,26-35,33,0,Islamabad Capital Territory,Northern,Engineer,Auto,3,23462
1001101,Mariam,P00234742,F,36-45,40,0,Gilgit-Baltistan,Northern,Education,Auto,3,23456
1004736,Bilal,P00058042,F,18-25,25,1,Punjab,Eastern,Retail,Auto,4,23451
1004037,Sana,P00190542,M,51-55,54,1,Balochistan,Western,Agriculture,Hand & Power Tools,2,23434
1002340,Ahmed,P00119642,F,36-45,39,1,Sindh,Southern,Construction,Auto,3,23389
1005664,Ayesha,P00111642,F,18-25,20,0,Balochistan,Western,Agriculture,Auto,2,23365
1002523,Usman,P00293342,F,26-35,32,1,Punjab,Eastern,Construction,Auto,3,23326
1002503,Sana,P00220042,F,36-45,36,0,Khyber Pakhtunkhwa,North-Western,Retail,Auto,2,23314
1002638,Raza,P00346242,F,26-35,35,1,Khyber Pakhtunkhwa,North-Western,Retail,Auto,2,23306
1004505,Zainab,P00080042,F,51-55,55,1,Sindh,Southern,Retail,Auto,4,23302
1004957,Ali,P00111842,M,26-35,27,1,Sindh,Southern,IT,Auto,1,23285
1005649,Ayesha,P00238542,M,18-25,20,1,Khyber Pakhtunkhwa,North-Western,Engineer,Auto,1,23281
1004508,Ali,P00048742,F,26-35,32,0,Punjab,Eastern,Business,Auto,1,23270
1002520,Zainab,P00310342,M,55+,72,1,Islamabad Capital Territory,Northern,Freelancer,Auto,4,23267
1003111,Sara,P00249542,F,18-25,25,1,Balochistan,Western,Business,Auto,4,23252
1000687,Sana,P00156442,M,26-35,35,0,Islamabad Capital Territory,Northern,Construction,Auto,1,23247
1003267,Mehwish,P00144242,M,26-35,30,1,Azad Jammu & Kashmir,North-Eastern,Engineer,Hand & Power Tools,2,23246
1001182,Saad,P00122442,M,0-17,16,0,Khyber Pakhtunkhwa,North-Western,Education,Auto,4,23239
1005383,Hamza,P0096942,F,36-45,40,0,Gilgit-Baltistan,Northern,Govt,Auto,2,23201
1004303,Usman,P00201442,F,26-35,35,1,Azad Jammu & Kashmir,North-Eastern,Agriculture,Auto,2,23185
1005493,Saad,P00036242,M,36-45,45,1,Islamabad Capital Territory,Northern,Education,Hand & Power Tools,3,23160
1000728,Zainab,P00113942,F,26-35,28,0,Punjab,Eastern,Govt,Auto,1,23154
1002966,Ayesha,P00121642,M,26-35,32,1,Gilgit-Baltistan,Northern,Textile,Auto,3,23103
1001726,Taha,P00105042,F,26-35,32,0,Sindh,Southern,Media,Auto,4,23066
1001404,Saad,P00141842,F,51-55,53,0,Balochistan,Western,Govt,Auto,2,23053
1005267,Sana,P00115342,F,36-45,43,1,Azad Jammu & Kashmir,North-Eastern,Retail,Auto,3,23047
1003745,Saad,P00220042,M,26-35,29,0,Punjab,Eastern,Govt,Stationery,2,21563
1001884,Hania,P00339042,F,46-50,47,0,Balochistan,Western,Retail,Stationery,1,21547
1001804,Saad,P00000642,F,26-35,35,0,Sindh,Southern,IT,Stationery,1,21533
1005359,Ali,P00302742,F,18-25,22,1,Gilgit-Baltistan,Northern,Agriculture,Stationery,1,21503
1000151,Noor,P00150342,M,26-35,34,1,Balochistan,Western,Textile,Stationery,2,21495
1001389,Zainab,P00261542,F,26-35,33,1,Sindh,Southern,Govt,Stationery,3,21463
1002665,Zara,P00261842,F,36-45,36,0,Azad Jammu & Kashmir,North-Eastern,Education,Stationery,4,21427
1002496,Hiba,P00114042,F,51-55,52,0,Sindh,Southern,IT,Stationery,4,21423
1001442,Hamza,P00145042,M,18-25,18,1,Gilgit-Baltistan,Northern,IT,Stationery,2,21401
1000379,Mehwish,P00121642,M,36-45,39,0,Sindh,Southern,Engineer,Stationery,3,21397
1003916,Sana,P00003242,M,26-35,34,1,Khyber Pakhtunkhwa,North-Western,Freelancer,Stationery,4,21388
1001687,Ali,P00265242,F,26-35,33,0,Balochistan,Western,Education,Stationery,4,21325
1000423,Muneeb,P00046742,M,18-25,21,0,Sindh,Southern,Engineer,Stationery,2,21320
1002395,Ayesha,P00220342,F,36-45,38,1,Islamabad Capital Territory,Northern,Construction,Stationery,2,21317
1004728,Arham,P00037042,F,26-35,28,0,Gilgit-Baltistan,Northern,Agriculture,Stationery,4,21293
1005054,Umar,P0096542,F,36-45,37,0,Sindh,Southern,Agriculture,Stationery,1,21266
1004489,Mehwish,P00216742,M,18-25,20,0,Azad Jammu & Kashmir,North-Eastern,Education,Stationery,1,21259
1001865,Zainab,P00213742,M,18-25,23,1,Punjab,Eastern,Education,Stationery,2,21246
1003022,Hamza,P00130742,F,26-35,34,0,Islamabad Capital Territory,Northern,Engineer,Stationery,4,21218
1001657,Sara,P00248442,M,46-50,49,0,Azad Jammu & Kashmir,North-Eastern,Govt,Stationery,2,21178
1003751,Hamza,P00129542,M,36-45,38,1,Islamabad Capital Territory,Northern,Engineer,Stationery,1,21178
1000179,Saad,P00261642,F,26-35,30,0,Sindh,Southern,Retail,Stationery,4,21152
1000438,Hamza,P00182542,F,18-25,25,0,Balochistan,Western,Healthcare,Tupperware,2,21079
1003618,Zainab,P00248942,M,18-25,19,1,Gilgit-Baltistan,Northern,Engineer,Tupperware,1,21058
1003415,Mariam,P00152742,M,36-45,42,0,Khyber Pakhtunkhwa,North-Western,Govt,Stationery,1,21039
1002485,Ali,P00302342,F,36-45,38,1,Azad Jammu & Kashmir,North-Eastern,Education,Tupperware,3,21013
1001495,Taha,P00064042,F,18-25,21,1,Balochistan,Western,Engineer,Stationery,4,21009
1004607,Usman,P00173342,M,26-35,35,0,Azad Jammu & Kashmir,North-Eastern,Business,Stationery,4,20981
1005316,Noor,P00278642,F,18-25,24,1,Khyber Pakhtunkhwa,North-Western,Govt,Tupperware,4,20967
1000461,Mehwish,P00142942,M,51-55,52,1,Balochistan,Western,IT,Stationery,2,20965
1000154,Laiba,P00306042,F,51-55,53,1,Punjab,Eastern,Retail,Footwear & Shoes,4,20965
1000749,Usman,P00114342,F,36-45,37,1,Sindh,Southern,Textile,Footwear & Shoes,2,20963
1006040,Raza,P00271242,F,26-35,28,1,Sindh,Southern,Govt,Footwear & Shoes,1,20960
1001284,Laiba,P00157142,M,46-50,50,0,Punjab,Eastern,Govt,Footwear & Shoes,3,20960
1004269,Ali,P00345242,F,36-45,40,0,Balochistan,Western,Engineer,Footwear & Shoes,1,20959
1001496,Umar,P00067942,F,26-35,35,1,Balochistan,Western,Engineer,Footwear & Shoes,1,20955
1003007,Hassan,P00191942,F,36-45,45,0,Gilgit-Baltistan,Northern,Govt,Stationery,4,20951.5
1004715,Taha,P00217442,F,26-35,35,0,Balochistan,Western,IT,Footwear & Shoes,3,20950
1000306,Umar,P00303242,F,18-25,18,0,Azad Jammu & Kashmir,North-Eastern,Education,Tupperware,3,20949
1000855,Hiba,P00240042,M,18-25,22,0,Sindh,Southern,Agriculture,Footwear & Shoes,3,20948
1001183,Ayesha,P00084842,F,36-45,43,1,Khyber Pakhtunkhwa,North-Western,Education,Footwear & Shoes,4,20945
1005954,Hamza,P00156242,F,46-50,48,1,Balochistan,Western,Freelancer,Footwear & Shoes,2,20944
1005627,Ayesha,P00123142,M,26-35,28,0,Azad Jammu & Kashmir,North-Eastern,Media,Stationery,1,20943
1002165,Fatima,P00260442,F,26-35,31,1,Sindh,Southern,Engineer,Footwear & Shoes,1,20938
1004416,Ayesha,P00213742,F,18-25,23,0,Azad Jammu & Kashmir,North-Eastern,Business,Footwear & Shoes,2,20933
1000850,Iqra,P00319942,F,36-45,44,0,Balochistan,Western,Business,Footwear & Shoes,3,20932
1002888,Saad,P00255842,F,26-35,34,0,Punjab,Eastern,Freelancer,Tupperware,2,20930
1001891,Ayesha,P00192542,F,46-50,46,0,Sindh,Southern,Media,Footwear & Shoes,1,20929
1001019,Iqra,P00259142,F,36-45,43,1,Balochistan,Western,Engineer,Footwear & Shoes,2,20928
1002306,Sara,P00084242,M,18-25,21,1,Khyber Pakhtunkhwa,North-Western,Textile,Footwear & Shoes,3,20925
1001179,Zainab,P00208742,M,51-55,54,0,Gilgit-Baltistan,Northern,Engineer,Footwear & Shoes,3,20920
1004957,Noor,P00163442,F,26-35,34,1,Islamabad Capital Territory,Northern,Engineer,Footwear & Shoes,1,20914
1004079,Bilal,P00284742,F,36-45,44,1,Islamabad Capital Territory,Northern,IT,Footwear & Shoes,2,20914
1002124,Sana,P00369042,F,26-35,29,0,Azad Jammu & Kashmir,North-Eastern,Education,Footwear & Shoes,3,20912
1004335,Hiba,P00075542,F,36-45,38,0,Islamabad Capital Territory,Northern,Govt,Footwear & Shoes,4,20912
1000280,Daniyal,P00216042,F,51-55,55,0,Azad Jammu & Kashmir,North-Eastern,Construction,Footwear & Shoes,2,20908
1003311,Sana,P00142742,F,26-35,26,1,Azad Jammu & Kashmir,North-Eastern,Media,Footwear & Shoes,1,20908
1004161,Mariam,P00345642,F,46-50,46,0,Sindh,Southern,Healthcare,Footwear & Shoes,4,20906
1005265,Taha,P00296242,F,46-50,48,1,Gilgit-Baltistan,Northern,Education,Footwear & Shoes,1,
1004285,Mehwish,P00315842,M,36-45,38,0,Sindh,Southern,Healthcare,Footwear & Shoes,3,20900
1005261,Arham,P00057942,F,36-45,41,1,Punjab,Eastern,Agriculture,Footwear & Shoes,2,
1000445,Usman,P00114042,F,46-50,47,0,Punjab,Eastern,Engineer,Footwear & Shoes,1,20896
1003265,Raza,P00184942,F,26-35,35,0,Sindh,Southern,Construction,Stationery,1,20883
1003396,Laiba,P00178242,F,26-35,31,1,Azad Jammu & Kashmir,North-Eastern,IT,Footwear & Shoes,4,20875
1002380,Arham,P00124642,F,26-35,26,1,Islamabad Capital Territory,Northern,Construction,Footwear & Shoes,2,20874
1002059,Zainab,P00114142,F,36-45,41,0,Gilgit-Baltistan,Northern,Freelancer,Footwear & Shoes,1,20874
1001335,Hassan,P00108942,F,36-45,42,0,Islamabad Capital Territory,Northern,Textile,Footwear & Shoes,1,20873
1004838,Saad,P00062842,F,46-50,49,0,Balochistan,Western,Retail,Footwear & Shoes,3,20870
1001015,Ahmed,P00289942,F,36-45,44,0,Punjab,Eastern,Textile,Stationery,2,20867
1000549,Bilal,P00113542,F,26-35,31,0,Punjab,Eastern,Retail,Footwear & Shoes,2,20865
1001954,Sana,P00294542,M,26-35,31,1,Azad Jammu & Kashmir,North-Eastern,IT,Footwear & Shoes,3,20863
1001912,Ayesha,P00087442,F,26-35,27,0,Azad Jammu & Kashmir,North-Eastern,Engineer,Tupperware,3,20860
1003918,Fatima,P00334242,F,26-35,32,0,Punjab,Eastern,IT,Footwear & Shoes,3,20855
1001896,Iqra,P00117142,M,55+,66,0,Islamabad Capital Territory,Northern,Agriculture,Footwear & Shoes,2,20853
1002445,Hamza,P00184042,F,26-35,28,0,Balochistan,Western,Healthcare,Stationery,4,20852
1002279,Laiba,P00368342,F,51-55,52,0,Sindh,Southern,Education,Footwear & Shoes,4,20850
1002898,Fatima,P00309242,F,18-25,19,0,Punjab,Eastern,Media,Footwear & Shoes,4,20847
1004277,Umar,P00315442,F,36-45,45,1,Islamabad Capital Territory,Northern,Textile,Footwear & Shoes,2,20840
1003576,Zara,P00101342,M,51-55,53,1,Punjab,Eastern,Agriculture,Footwear & Shoes,4,20837
1003724,Iqra,P00232442,F,36-45,36,0,Punjab,Eastern,Freelancer,Footwear & Shoes,2,20833
1003384,Iqra,P00033742,F,36-45,41,1,Punjab,Eastern,Govt,Footwear & Shoes,4,20819
1003051,Hassan,P00288342,F,18-25,22,0,Sindh,Southern,Agriculture,Tupperware,1,20816
1003311,Muneeb,P00228142,F,26-35,30,1,Balochistan,Western,Textile,Footwear & Shoes,3,20815
1004782,Arham,P00114942,M,46-50,46,1,Gilgit-Baltistan,Northern,Healthcare,Footwear & Shoes,1,20815
1003998,Laiba,P00232242,F,46-50,47,0,Khyber Pakhtunkhwa,North-Western,Retail,Footwear & Shoes,4,20812
1000284,Ahmed,P00034742,F,26-35,29,0,Gilgit-Baltistan,Northern,Textile,Footwear & Shoes,2,20807
1000509,Zara,P00278042,F,26-35,28,0,Islamabad Capital Territory,Northern,Media,Footwear & Shoes,2,20805.45
1000838,Sara,P00363542,M,51-55,53,1,Azad Jammu & Kashmir,North-Eastern,Retail,Footwear & Shoes,4,20796
1000838,Ali,P00363542,M,51-55,53,1,Punjab,Eastern,Construction,Footwear & Shoes,2,20796
1002060,Sara,P00351042,M,0-17,15,0,Gilgit-Baltistan,Northern,Media,Footwear & Shoes,4,20788
1000850,Sara,P00324342,M,36-45,40,1,Sindh,Southern,Media,Footwear & Shoes,3,20783
1005522,Saad,P00179742,F,26-35,35,1,Azad Jammu & Kashmir,North-Eastern,Construction,Footwear & Shoes,1,20770
1005153,Ahmed,P00190242,F,26-35,33,1,Gilgit-Baltistan,Northern,Retail,Footwear & Shoes,4,20767
1002122,Hania,P00161442,F,36-45,40,0,Khyber Pakhtunkhwa,North-Western,IT,Footwear & Shoes,1,20767
1000984,Fatima,P00248142,F,51-55,52,0,Sindh,Southern,Agriculture,Tupperware,2,20757
1005220,Usman,P00209842,F,26-35,27,1,Khyber Pakhtunkhwa,North-Western,Freelancer,Footwear & Shoes,2,20752
1001202,Ayesha,P00205442,F,36-45,45,0,Punjab,Eastern,Freelancer,Footwear & Shoes,2,20752
1006014,Mariam,P00183142,F,46-50,48,0,Balochistan,Western,Agriculture,Footwear & Shoes,4,20751
1005111,Laiba,P00177842,F,36-45,38,0,Sindh,Southern,Engineer,Footwear & Shoes,4,20751
1004227,Bilal,P00059242,F,26-35,33,1,Punjab,Eastern,Business,Footwear & Shoes,3,20745
1001331,Hassan,P00248942,F,46-50,47,1,Khyber Pakhtunkhwa,North-Western,Agriculture,Footwear & Shoes,4,20745
1004937,Bilal,P00112842,F,36-45,40,1,Azad Jammu & Kashmir,North-Eastern,Business,Footwear & Shoes,2,20744
1005600,Usman,P00085242,M,46-50,47,0,Gilgit-Baltistan,Northern,Construction,Tupperware,1,20739
1000791,Saad,P00127842,M,36-45,44,1,Sindh,Southern,Education,Footwear & Shoes,2,20739
